,January,February,March,April,May,June,July,August,September,October,November,December
Departing tourists,"61,353","61,788","80,142","122,979","133,648","147,361","174,715","199,430","163,251","152,572","85,491","61,373"
,,,,,,,,,,,,
Mode of travel:,,,,,,,,,,,,
  Air ,"59,741","60,378","78,673","118,455","130,691","143,623","170,166","192,555","158,437","148,442","82,680","57,393"
  Sea,"1,612","1,410","1,469","4,524","2,957","3,738","4,549","6,875","4,814","4,130","2,811","3,980"
,,,,,,,,,,,,
Sex:,,,,,,,,,,,,
  Males,"32,146","35,120","43,463","63,019","69,756","73,271","88,407","101,429","84,263","80,296","47,049","35,498"
  Females,"29,208","26,669","36,679","59,959","63,892","74,091","86,308","98,001","78,987","72,276","38,442","25,875"
,,,,,,,,,,,,
Age group:,,,,,,,,,,,,
  0-24,"7,257","7,449","12,163","29,163","14,496","27,065","57,392","70,222","25,416","19,109","10,886","7,784"
  25-44,"20,984","20,373","21,583","34,730","41,574","46,890","54,824","68,037","53,894","42,274","25,515","20,633"
  45-64,"24,740","23,394","31,085","42,118","53,302","51,860","50,585","52,204","62,557","59,652","31,095","20,891"
  65+,"8,372","10,572","15,312","16,967","24,277","21,547","11,913","8,967","21,383","31,537","17,995","12,065"
,,,,,,,,,,,,
Markets:,,,,,,,,,,,,
  EU,"50,217","51,249","68,767","108,559","115,743","126,204","141,945","171,139","139,194","129,153","72,528","50,268"
of which: Euro area,"29,000","25,530","36,055","61,506","61,786","63,885","76,373","99,974","73,269","58,062","38,573","28,323"
  Non-EU,"11,136","10,540","11,374","14,420","17,905","21,157","32,770","28,291","24,057","23,419","12,963","11,105"
,,,,,,,,,,,,
Purpose of visit:,,,,,,,,,,,,
  Holiday,"51,870","48,162","62,860","101,354","115,174","128,780","147,097","174,817","142,767","131,549","68,236","47,614"
  Business and professional,"7,023","11,030","9,595","7,900","10,897","9,119","7,665","6,514","11,631","13,017","11,801","8,796"
  Other ,"2,461","2,597","7,687","13,725","7,576","9,462","19,953","18,100","8,853","8,006","5,455","4,963"
,,,,,,,,,,,,
Organisation of stay:,,,,,,,,,,,,
  Package ,"29,532","28,025","39,686","59,958","65,583","76,480","83,270","88,878","79,757","69,139","36,949","24,344"
  Non-package,"31,821","33,763","40,456","63,020","68,065","70,881","91,445","110,551","83,494","83,434","48,542","37,029"
,,,,,,,,,,,,
Frequency:,,,,,,,,,,,,
  First-time tourists,"38,982","38,576","53,359","88,690","94,804","103,179","124,453","144,246","112,663","100,382","55,217","37,471"
  Repeat tourists,"22,371","23,212","26,782","34,289","38,844","44,182","50,261","55,183","50,587","52,190","30,274","23,903"
   less than or equal to once a year,"15,360","15,116","19,862","24,534","27,974","34,312","38,408","44,021","38,819","37,728","19,962","13,356"
   more than once a year,"7,011","8,097","6,921","9,755","10,870","9,869","11,853","11,163","11,768","14,462","10,312","10,546"
,,,,,,,,,,,,
Duration of visit:,,,,,,,,,,,,
  1-3 nights,"12,033","14,800","15,672","23,410","27,539","22,597","13,992","13,103","22,609","21,215","15,065","14,677"
  4-6 nights,"18,016","17,144","23,228","35,176","29,470","27,459","28,335","29,988","29,716","30,036","20,405","14,378"
  7+ nights,"31,305","29,844","41,242","64,392","76,639","97,306","132,388","156,340","110,926","101,320","50,021","32,318"
,,,,,,,,,,,,
Average length of stay (nights),7.9,7.1,7.1,6.8,6.9,8.0,9.7,10.5,9.5,8.3,8.0,10.4
